season,home_win_rate,avg_margin,games,avg_total_actual,avg_ou_line,over_rate,cover_rate_season
2008,0.6008130081300813,3.4073170731707316,1230,199.8430894308943,199.51869918699188,0.4845528455284553,0.43333333333333335
2009,0.608130081300813,3.254471544715447,1230,199.88536585365853,199.4849593495935,0.4951219512195122,0.4146341463414634
2010,0.5943089430894309,2.731707317073171,1230,200.89430894308944,200.85121951219512,0.4845528455284553,0.40487804878048783
2011,0.6040650406504066,3.165040650406504,1230,199.09837398373983,199.54918699186993,0.47479674796747967,0.4040650406504065
2012,0.5858585858585859,2.82020202020202,990,192.5191919191919,192.0848484848485,0.4777777777777778,0.4212121212121212
2013,0.611879576891782,3.2270138323840523,1229,196.2538649308381,196.02481692432872,0.4971521562245728,0.4255492270138324
2014,0.5804878048780487,2.5886178861788616,1230,201.96422764227643,200.85325203252032,0.5040650406504065,0.3991869918699187
2015,0.5747967479674797,2.4065040650406506,1230,200.02926829268293,200.08943089430895,0.4796747967479675,0.3829268292682927
2016,0.5886178861788618,2.6747967479674797,1230,205.3430894308943,204.87113821138212,0.4886178861788618,0.4170731707317073
2017,0.583739837398374,3.1479674796747967,1230,211.18211382113822,210.7020325203252,0.4926829268292683,0.4211382113821138
2018,0.5788617886178862,2.104878048780488,1230,212.66747967479674,212.42967479674797,0.48048780487804876,0.38943089430894307
2019,0.5926829268292683,2.7243902439024392,1230,222.4170731707317,221.74715447154472,0.4951219512195122,0.4186991869918699
2020,0.5519848771266541,2.1370510396975426,1058,223.5812854442344,222.3563327032136,0.5151228733459358,0.391304347826087
2021,0.5435185185185185,0.9435185185185185,1080,224.1824074074074,224.12546296296296,0.49537037037037035,0.3925925925925926
2022,0.5447882736156352,1.76628664495114,1228,221.22231270358307,220.8770358306189,0.497557003257329,0.3941368078175896
2023,0.5804878048780487,2.5,1230,229.37154471544716,228.39634146341464,0.5065040650406504,0.4268292682926829
2024,0.5430894308943089,2.1463414634146343,1230,228.4227642276423,228.24146341463415,0.4975609756097561,0.38699186991869916
2025,0.5439024390243903,1.632520325203252,1230,227.65040650406505,226.8918699186992,0.526829268292683,0.3902439024390244
